measurement_seq_number,stop_id,count
0,N4,0.0
0,N5,4.0
0,N6,4.0
0,N8,0.0
0,N9,0.0
0,N10,0.0
0,N11,0.0
0,N14,0.0
0,N15,0.0
0,N16,0.0
0,N21,0.0
0,N22,0.0
0,N23,0.0
0,N24,0.0
1,N4,0.0
1,N5,4.0
1,N6,4.0
1,N8,0.0
1,N9,0.0
1,N10,0.0
1,N11,0.0
1,N14,0.0
1,N15,0.0
1,N16,0.0
1,N21,0.0
1,N22,0.0
1,N23,0.0
1,N24,0.0
2,N4,0.0
2,N5,4.0
2,N6,4.0
2,N8,0.0
2,N9,0.0
2,N10,0.0
2,N11,0.0
2,N14,0.0
2,N15,0.0
2,N16,0.0
2,N21,0.0
2,N22,0.0
2,N23,0.0
2,N24,0.0
3,N4,0.0
3,N5,4.0
3,N6,4.0
3,N8,0.0
3,N9,0.0
3,N10,0.0
3,N11,0.0
3,N14,0.0
3,N15,0.0
3,N16,0.0
3,N21,0.0
3,N22,0.0
3,N23,0.0
3,N24,0.0
4,N4,0.0
4,N5,4.0
4,N6,4.0
4,N8,0.0
4,N9,0.0
4,N10,0.0
4,N11,0.0
4,N14,0.0
4,N15,0.0
4,N16,0.0
4,N21,0.0
4,N22,0.0
4,N23,0.0
4,N24,0.0
5,N4,0.0
5,N5,4.0
5,N6,4.0
5,N8,0.0
5,N9,0.0
5,N10,0.0
5,N11,0.0
5,N14,0.0
5,N15,0.0
5,N16,0.0
5,N21,0.0
5,N22,0.0
5,N23,0.0
5,N24,0.0
6,N4,0.0
6,N5,4.0
6,N6,4.0
6,N8,0.0
6,N9,0.0
6,N10,0.0
6,N11,0.0
6,N14,0.0
6,N15,0.0
6,N16,0.0
6,N21,0.0
6,N22,0.0
6,N23,0.0
6,N24,0.0
7,N4,0.0
7,N5,4.0
7,N6,4.0
7,N8,0.0
7,N9,0.0
7,N10,0.0
7,N11,0.0
7,N14,0.0
7,N15,0.0
7,N16,0.0
7,N21,0.0
7,N22,0.0
7,N23,0.0
7,N24,0.0
8,N4,0.0
8,N5,4.0
8,N6,4.0
