[0, 0, 'N1_0', 'N3_15', 'Bus', 15, '', 100.0, 15]
[1, 0, 'N3_15', 'N5_30', 'Bus', 15, '', 100.0, 15]
[2, 0, 'N1_10', 'N3_25', 'Bus', 15, '', 100.0, 15]
[3, 0, 'N3_25', 'N5_40', 'Bus', 15, '', 100.0, 15]
[4, 0, 'N1_20', 'N3_35', 'Bus', 15, '', 100.0, 15]
[5, 0, 'N3_35', 'N5_50', 'Bus', 15, '', 100.0, 15]
[6, 0, 'N1_30', 'N3_45', 'Bus', 15, '', 100.0, 15]
[7, 0, 'N3_45', 'N5_60', 'Bus', 15, '', 100.0, 15]
[8, 0, 'N1_40', 'N3_55', 'Bus', 15, '', 100.0, 15]
[9, 0, 'N3_55', 'N5_70', 'Bus', 15, '', 100.0, 15]
[10, 0, 'N1_50', 'N3_65', 'Bus', 15, '', 100.0, 15]
[11, 0, 'N3_65', 'N5_80', 'Bus', 15, '', 100.0, 15]
[12, 0, 'N1_60', 'N3_75', 'Bus', 15, '', 100.0, 15]
[13, 0, 'N3_75', 'N5_90', 'Bus', 15, '', 100.0, 15]
[14, 0, 'N1_70', 'N3_85', 'Bus', 15, '', 100.0, 15]
[15, 0, 'N3_85', 'N5_100', 'Bus', 15, '', 100.0, 15]
[16, 0, 'N1_80', 'N3_95', 'Bus', 15, '', 100.0, 15]
[17, 0, 'N3_95', 'N5_110', 'Bus', 15, '', 100.0, 15]
[18, 0, 'N1_90', 'N3_105', 'Bus', 15, '', 100.0, 15]
[19, 0, 'N1_100', 'N3_115', 'Bus', 15, '', 100.0, 15]
[20, 1, 'N1_0', 'N3_15', 'Bus', 15, '', 100.0, 15]
[21, 1, 'N3_15', 'N4_25', 'Bus', 10, '', 100.0, 10]
[22, 1, 'N4_25', 'N5_35', 'Bus', 10, '', 100.0, 10]
[23, 1, 'N1_10', 'N3_25', 'Bus', 15, '', 100.0, 15]
[24, 1, 'N3_25', 'N4_35', 'Bus', 10, '', 100.0, 10]
[25, 1, 'N4_35', 'N5_45', 'Bus', 10, '', 100.0, 10]
[26, 1, 'N1_20', 'N3_35', 'Bus', 15, '', 100.0, 15]
[27, 1, 'N3_35', 'N4_45', 'Bus', 10, '', 100.0, 10]
[28, 1, 'N4_45', 'N5_55', 'Bus', 10, '', 100.0, 10]
[29, 1, 'N1_30', 'N3_45', 'Bus', 15, '', 100.0, 15]
[30, 1, 'N3_45', 'N4_55', 'Bus', 10, '', 100.0, 10]
[31, 1, 'N4_55', 'N5_65', 'Bus', 10, '', 100.0, 10]
[32, 1, 'N1_40', 'N3_55', 'Bus', 15, '', 100.0, 15]
[33, 1, 'N3_55', 'N4_65', 'Bus', 10, '', 100.0, 10]
[34, 1, 'N4_65', 'N5_75', 'Bus', 10, '', 100.0, 10]
[35, 1, 'N1_50', 'N3_65', 'Bus', 15, '', 100.0, 15]
[36, 1, 'N3_65', 'N4_75', 'Bus', 10, '', 100.0, 10]
[37, 1, 'N4_75', 'N5_85', 'Bus', 10, '', 100.0, 10]
[38, 1, 'N1_60', 'N3_75', 'Bus', 15, '', 100.0, 15]
[39, 1, 'N3_75', 'N4_85', 'Bus', 10, '', 100.0, 10]
[40, 1, 'N4_85', 'N5_95', 'Bus', 10, '', 100.0, 10]
[41, 1, 'N1_70', 'N3_85', 'Bus', 15, '', 100.0, 15]
[42, 1, 'N3_85', 'N4_95', 'Bus', 10, '', 100.0, 10]
[43, 1, 'N4_95', 'N5_105', 'Bus', 10, '', 100.0, 10]
[44, 1, 'N1_80', 'N3_95', 'Bus', 15, '', 100.0, 15]
[45, 1, 'N3_95', 'N4_105', 'Bus', 10, '', 100.0, 10]
[46, 1, 'N4_105', 'N5_115', 'Bus', 10, '', 100.0, 10]
[47, 1, 'N1_90', 'N3_105', 'Bus', 15, '', 100.0, 15]
[48, 1, 'N3_105', 'N4_115', 'Bus', 10, '', 100.0, 10]
[49, 1, 'N1_100', 'N3_115', 'Bus', 15, '', 100.0, 15]
[50, 2, 'N1_0', 'N2_10', 'Bus', 10, '', 100.0, 10]
[51, 2, 'N2_10', 'N3_20', 'Bus', 10, '', 100.0, 10]
[52, 2, 'N3_20', 'N5_35', 'Bus', 15, '', 100.0, 15]
[53, 2, 'N1_10', 'N2_20', 'Bus', 10, '', 100.0, 10]
[54, 2, 'N2_20', 'N3_30', 'Bus', 10, '', 100.0, 10]
[55, 2, 'N3_30', 'N5_45', 'Bus', 15, '', 100.0, 15]
[56, 2, 'N1_20', 'N2_30', 'Bus', 10, '', 100.0, 10]
[57, 2, 'N2_30', 'N3_40', 'Bus', 10, '', 100.0, 10]
[58, 2, 'N3_40', 'N5_55', 'Bus', 15, '', 100.0, 15]
[59, 2, 'N1_30', 'N2_40', 'Bus', 10, '', 100.0, 10]
[60, 2, 'N2_40', 'N3_50', 'Bus', 10, '', 100.0, 10]
[61, 2, 'N3_50', 'N5_65', 'Bus', 15, '', 100.0, 15]
[62, 2, 'N1_40', 'N2_50', 'Bus', 10, '', 100.0, 10]
[63, 2, 'N2_50', 'N3_60', 'Bus', 10, '', 100.0, 10]
[64, 2, 'N3_60', 'N5_75', 'Bus', 15, '', 100.0, 15]
[65, 2, 'N1_50', 'N2_60', 'Bus', 10, '', 100.0, 10]
[66, 2, 'N2_60', 'N3_70', 'Bus', 10, '', 100.0, 10]
[67, 2, 'N3_70', 'N5_85', 'Bus', 15, '', 100.0, 15]
[68, 2, 'N1_60', 'N2_70', 'Bus', 10, '', 100.0, 10]
[69, 2, 'N2_70', 'N3_80', 'Bus', 10, '', 100.0, 10]
[70, 2, 'N3_80', 'N5_95', 'Bus', 15, '', 100.0, 15]
[71, 2, 'N1_70', 'N2_80', 'Bus', 10, '', 100.0, 10]
[72, 2, 'N2_80', 'N3_90', 'Bus', 10, '', 100.0, 10]
[73, 2, 'N3_90', 'N5_105', 'Bus', 15, '', 100.0, 15]
[74, 2, 'N1_80', 'N2_90', 'Bus', 10, '', 100.0, 10]
[75, 2, 'N2_90', 'N3_100', 'Bus', 10, '', 100.0, 10]
[76, 2, 'N3_100', 'N5_115', 'Bus', 15, '', 100.0, 15]
[77, 2, 'N1_90', 'N2_100', 'Bus', 10, '', 100.0, 10]
[78, 2, 'N2_100', 'N3_110', 'Bus', 10, '', 100.0, 10]
[79, 2, 'N1_100', 'N2_110', 'Bus', 10, '', 100.0, 10]
